genome,organism,dmdA,mddA,dmsA,aprA,aprB,soxA,soxB,soxC,soxX,soxY,soxZ,dsrA,dsrB
GCA_002011835.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfarculales..Desulfarculaceae..NA..Desulfarculaceae..bacterium..JdFR..95,,,,TRUE,TRUE,,,,,,TRUE,TRUE,TRUE
GCA_001799195.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..RIFOXYA12..FULL..61..11,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_900155525.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfovibrionales..Desulfovibrionaceae..Mailhella..Mailhella..massiliensis..Marseille..P3199,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001751085.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfobacterales..NA..NA..Desulfobacterales..bacterium..C00003060,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_002958735.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Chromatiaceae..Chromatium..Chromatium..okenii..LaCa,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000426225.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfobacterales..Desulfobacteraceae..Desulforegula..Desulforegula..conservatrix..Mb1Pa,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_003194485.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001873295.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..CG2..30..70..394,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000195295.1,Bacteria..Proteobacteria..Deltaproteobacteria..Syntrophobacterales..Syntrophaceae..Desulfobacca..Desulfobacca..acetoxidans..DSM..11109,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002841785.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..HGW..Deltaproteobacteria..3,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_003229375.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002451015.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..UBA6911,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001798605.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..RIFOXYA12..FULL..58..15,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002500605.1,Bacteria..Nitrospinae..Nitrospinia..Nitrospinales..Nitrospinaceae..NA..Nitrospinaceae..bacterium..UBA7883,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_900114975.1,Bacteria..Proteobacteria..Deltaproteobacteria..Syntrophobacterales..Syntrophobacteraceae..Thermodesulforhabdus..Thermodesulforhabdus..norvegica..DSM..9990,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_002607855.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Peptococcaceae..Desulfotomaculum..Desulfotomaculum..profundi..Bs107,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000179315.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..delta..proteobacterium..NaphS2..NaphS2,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002877985.1,Bacteria..Thermodesulfobacteria..Thermodesulfobacteria..Thermodesulfobacteriales..Thermodesulfobacteriaceae..Thermodesulfobacterium..Thermodesulfobacterium..geofontis,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000024605.1,Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermoanaerobacteraceae..Ammonifex..Ammonifex..degensii..KC4,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000266945.1,Bacteria..Proteobacteria..Deltaproteobacteria..Syntrophobacterales..Syntrophaceae..Desulfomonile..Desulfomonile..tiedjei..DSM..6799,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001873945.1,Bacteria..Candidatus..Desantisbacteria..NA..NA..NA..NA..Candidatus..Desantisbacteria..bacterium..CG2..30..40..21,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_000212395.1,Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermodesulfobiaceae..Thermodesulfobium..Thermodesulfobium..narugense..DSM..14796,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001871795.1,Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..CG2..30..50..142,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002010915.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfarculales..Desulfarculaceae..NA..Desulfarculaceae..bacterium..JdFR..97,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002779825.1,Bacteria..Armatimonadetes..NA..NA..NA..NA..Armatimonadetes..bacterium..CG06..land..8..20..14..3..00..66..21,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002339325.1,Bacteria..Nitrospirae..Nitrospira..Nitrospirales..Nitrospiraceae..NA..Nitrospiraceae..bacterium..UBA2600,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002011735.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..JdFR..81,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002897715.1,Bacteria..NA..NA..NA..NA..NA..bacterium..BMS3Abin01,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_001800245.1,Bacteria..Elusimicrobia..NA..NA..NA..NA..Elusimicrobia..bacterium..RIFOXYA12..FULL..51..18,,,,TRUE,TRUE,,,,,,,,
GCA_002898195.1,Bacteria..NA..NA..NA..NA..NA..bacterium..BMS3Bbin04,,,,TRUE,TRUE,,,,,,,,
GCA_002717185.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium,,,,TRUE,TRUE,,,,,,,,
GCA_002449765.1,Bacteria..Fibrobacteres..Fibrobacteria..Fibrobacterales..Fibrobacteraceae..Fibrobacter..Fibrobacter..sp..UBA7003,,,,TRUE,TRUE,,,,,,,,
GCA_002409975.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA5388,,,,TRUE,TRUE,,,,,,,,
GCA_002399265.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA4882,,,,TRUE,TRUE,,,,,,,,
GCF_000328625.1,Bacteria..Firmicutes..Clostridia..Halanaerobiales..Halobacteroidaceae..Halobacteroides..Halobacteroides..halobius..DSM..5150,,,,TRUE,TRUE,,,,,,,,
GCF_002252565.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Hungateiclostridiaceae..Petroclostridium..Petroclostridium..xylanilyticum..SK..Y3,,,,TRUE,TRUE,,,,,,,,
GCA_003230535.1,Bacteria..NA..NA..NA..NA..NA..bacterium,,,,TRUE,TRUE,,,,,,,,
GCA_001805205.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..RIFCSPLOW2..12..42..9,,,,TRUE,TRUE,,,,,,,,
GCA_001784555.1,Bacteria..Candidatus..Melainabacteria..NA..NA..NA..NA..Candidatus..Melainabacteria..bacterium..RIFCSPHIGHO2..02..FULL..34..12,,,,TRUE,TRUE,,,,,,,,
GCA_001443375.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..CSP1..4,,,,TRUE,TRUE,,,,,,,,
GCA_002778835.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhizobiales..Methylobacteriaceae..Methylobacterium..Methylobacterium..sp..CG09..land..8..20..14..0..10..71..15,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCA_003136555.1,Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium,,,,TRUE,,,,TRUE,,,,,
GCF_000353285.1,Bacteria..Cyanobacteria..NA..Synechococcales..Leptolyngbyaceae..Leptolyngbya..Leptolyngbya..boryana..PCC..6306,,,,TRUE,,,,,,,,,
GCF_002251945.1,Bacteria..Cyanobacteria..NA..Synechococcales..Pseudanabaenaceae..Pseudanabaena..Pseudanabaena..sp..SR411..SR411,,,,TRUE,,,,,,,,,
GCF_900105685.1,Bacteria..Verrucomicrobia..Verrucomicrobiae..Verrucomicrobiales..Verrucomicrobiaceae..Verrucomicrobium..Verrucomicrobium..sp..GAS474..GAS474,,,,TRUE,,,,,,,,,
GCA_003023725.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Clostridiales..Family..XVII...Incertae..Sedis..Sulfobacillus..Sulfobacillus..benefaciens,,,,TRUE,,,,,,,,,
GCA_003242195.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium,,,,TRUE,,,,,,,,,
GCF_000316115.1,Bacteria..Cyanobacteria..NA..Synechococcales..Leptolyngbyaceae..Leptolyngbya..Leptolyngbya..sp..PCC..7375..PCC..7375,,,,TRUE,,,,,,,,,
GCF_000148385.1,Archaea..Crenarchaeota..Thermoprotei..Thermoproteales..Thermoproteaceae..Vulcanisaeta..Vulcanisaeta..distributa..DSM..14429,,,,,TRUE,,,,,,,TRUE,TRUE
GCF_000194625.1,Archaea..Euryarchaeota..Archaeoglobi..Archaeoglobales..Archaeoglobaceae..Archaeoglobus..Archaeoglobus..veneficus..SNP6,,,,,TRUE,,,,,,,TRUE,TRUE
GCF_000019165.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Heliobacteriaceae..Heliobacterium..Heliobacterium..modesticaldum..Ice1..ATCC..51547,,,,,TRUE,,,,,,,,
GCA_002011165.1,Archaea..Euryarchaeota..NA..NA..NA..NA..Euryarchaeota..archaeon..JdFR..21,,,,,TRUE,,,,,,,,
GCA_003019535.1,Archaea..Candidatus..Marsarchaeota..NA..NA..NA..NA..Candidatus..Marsarchaeota..G2..archaeon..ECH..B..1,,,,,TRUE,,,,,,,,
GCA_002722435.1,Bacteria..Proteobacteria..Gammaproteobacteria..Legionellales..NA..NA..Legionellales..bacterium,,,,,TRUE,,,,,,,,
GCA_001774505.1,Bacteria..Candidatus..Coatesbacteria..NA..NA..NA..NA..Candidatus..Coatesbacteria..bacterium..RBG..13..66..14,,,,,TRUE,,,,,,,,
GCA_001829155.1,Bacteria..Spirochaetes..NA..NA..NA..NA..Spirochaetes..bacterium..GWB1..36..13,,,,,TRUE,,,,,,,,
GCA_002793075.1,Bacteria..Candidatus..Komeilibacteria..NA..NA..NA..NA..Candidatus..Komeilibacteria..bacterium..CG..4..10..14..0..2..um..filter..37..10,,,,,TRUE,,,,,,,,
GCA_002411145.1,Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA5324,,,,,TRUE,,,,,,,,
GCF_900112605.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Thiohalospira..Thiohalospira..halophila..HL..3,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCA_002798435.1,Bacteria..Proteobacteria..Alphaproteobacteria..Minwuiales..Minwuiaceae..Minwuia..Minwuia..thermotolerans..SY3..13,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_002355995.1,Bacteria..Deinococcus..Thermus..Deinococci..Thermales..Thermaceae..Thermus..Thermus..thermophilus..TMY,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCA_002292285.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA981,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_001641825.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Halothiobacillaceae..Halothiobacillus..Halothiobacillus..sp..WRN..7..WRN..7,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_000021565.1,Bacteria..Aquificae..Aquificae..Aquificales..Hydrogenothermaceae..Persephonella..Persephonella..marina..EX..H1,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCF_900142435.1,Bacteria..Aquificae..Aquificae..Aquificales..Aquificaceae..Thermocrinis..Thermocrinis..minervae..DSM..19557,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCA_000830255.1,Bacteria..Proteobacteria..Epsilonproteobacteria..Campylobacterales..Helicobacteraceae..Sulfuricurvum..Sulfuricurvum..sp..PC08..66,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCF_000227215.1,Bacteria..Proteobacteria..Acidithiobacillia..Acidithiobacillales..Acidithiobacillaceae..Acidithiobacillus..Acidithiobacillus..thiooxidans..ATCC..19377,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,
GCA_002937675.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha9..Bin1,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
GCA_002432655.1,Bacteria..Proteobacteria..Gammaproteobacteria..Thiotrichales..Thiotrichaceae..NA..Thiotrichaceae..bacterium..UBA5859,,,,,,TRUE,,,TRUE,TRUE,TRUE,,
GCA_001803815.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..RBG..19FT..COMBO..42..15,,,,,,TRUE,,,,,TRUE,TRUE,TRUE
GCA_002898275.1,Bacteria..NA..NA..NA..NA..NA..bacterium..HR40,,,,,,,TRUE,TRUE,,,TRUE,,
GCA_002402635.1,Bacteria..Deferribacteres..Deferribacteres..Deferribacterales..NA..NA..Deferribacterales..bacterium..UBA4806,,,,,,,TRUE,,,,,TRUE,TRUE
GCF_001653195.1,Bacteria..Firmicutes..Bacilli..Bacillales..Bacillaceae..Hydrogenibacillus..Hydrogenibacillus..schlegelii..MA..48,,,,,,,TRUE,,,,,,
GCF_900116225.1,Bacteria..Bacteroidetes..Sphingobacteriia..Sphingobacteriales..Sphingobacteriaceae..Sphingobacterium..Sphingobacterium..wenxiniae..DSM..22789,,,,,,,TRUE,,,,,,
GCA_002280485.1,Bacteria..Proteobacteria..Alphaproteobacteria..Caulobacterales..NA..NA..Caulobacterales..bacterium..32..69..10,,,,,,,TRUE,,,,,,
GCF_001561915.1,Bacteria..Firmicutes..Bacilli..Bacillales..Bacillaceae..Tepidibacillus..Tepidibacillus..decaturensis..Z9,,,,,,,TRUE,,,,,,
GCF_000092905.1,Bacteria..Firmicutes..Bacilli..Bacillales..Alicyclobacillaceae..Kyrpidia..Kyrpidia..tusciae..DSM..2912,,,,,,,TRUE,,,,,,
GCA_002938115.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha9..Bin7,,,,,,,,TRUE,,,TRUE,,
GCF_000153205.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Nitrococcus..Nitrococcus..mobilis..Nb..231,,,,,,,,TRUE,,,,,
GCA_003155415.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium,,,,,,,,TRUE,,,,,
GCF_000024725.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Chromatiaceae..Nitrosococcus..Nitrosococcus..halophilus..Nc..4,,,,,,,,TRUE,,,,,
GCA_002239025.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..bin125,,,,,,,,TRUE,,,,,
GCA_002413265.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..UBA5177,,,,,,,,TRUE,,,,,
GCA_001914955.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium..13..2..20CM..2..62..8,,,,,,,,TRUE,,,,,
GCA_002731275.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium,,,,,,,,TRUE,,,,,
GCA_002007425.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Chromatiales..bacterium..USCg..Taylor,,,,,,,,TRUE,,,,,
GCA_001780165.1,Bacteria..Candidatus..Eisenbacteria..NA..NA..NA..NA..Candidatus..Eisenbacteria..bacterium..RBG..16..71..46,,,,,,,,TRUE,,,,,
GCA_002348465.1,Bacteria..Gemmatimonadetes..Gemmatimonadetes..Gemmatimonadales..NA..NA..Gemmatimonadales..bacterium..UBA2960,,,,,,,,TRUE,,,,,
GCA_002338605.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA1847,,,,,,,,TRUE,,,,,
GCA_002721445.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium,,,,,,,,TRUE,,,,,
GCA_002238705.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..bin61,,,,,,,,TRUE,,,,,
GCA_002413185.1,Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..UBA5182,,,,,,,,TRUE,,,,,
GCF_900129635.1,Bacteria..Planctomycetes..Planctomycetia..Isosphaerales..Isosphaeraceae..Singulisphaera..Singulisphaera..sp..GP187..GP187,,,,,,,,TRUE,,,,,
GCA_002162915.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..NA..NA..Rhodospirillales..bacterium..47..12..T64,,,,,,,,TRUE,,,,,
GCA_002712885.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,,,,,,,TRUE,,,,,
GCA_000406005.1,Bacteria..Candidatus..Poribacteria..NA..NA..NA..NA..Candidatus..Poribacteria..bacterium..WGA..3G..WGA..3G,,,,,,,,TRUE,,,,,
GCA_002352565.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA2770,,,,,,,,TRUE,,,,,
GCF_000484535.1,Bacteria..Cyanobacteria..Gloeobacteria..Gloeobacterales..Gloeobacteraceae..Gloeobacter..Gloeobacter..kilaueensis..JS1,,,,,,,,TRUE,,,,,
GCF_000969705.1,Bacteria..Actinobacteria..Nitriliruptoria..Nitriliruptorales..Nitriliruptoraceae..Nitriliruptor..Nitriliruptor..alkaliphilus..DSM..45188,,,,,,,,TRUE,,,,,
GCF_002148795.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Oceanibaculum..Oceanibaculum..nanhaiense..L54..1..50,,,,,,,,TRUE,,,,,
GCF_002514725.1,Bacteria..Proteobacteria..Gammaproteobacteria..Alteromonadales..Alteromonadaceae..Mangrovitalea..Mangrovitalea..sediminis..M11..4,,,,,,,,TRUE,,,,,
GCA_002440805.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..UBA6265,,,,,,,,TRUE,,,,,
GCF_900106035.1,Bacteria..Actinobacteria..Actinobacteria..Jiangellales..Jiangellaceae..Jiangella..Jiangella..alba..DSM..45237,,,,,,,,TRUE,,,,,
GCA_003170275.1,Bacteria..Proteobacteria..Deltaproteobacteria..Myxococcales..NA..NA..Myxococcales..bacterium,,,,,,,,TRUE,,,,,
GCA_003161515.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium,,,,,,,,TRUE,,,,,
GCA_002687025.1,Bacteria..Candidatus..Poribacteria..NA..NA..NA..NA..Candidatus..Poribacteria..bacterium,,,,,,,,TRUE,,,,,
GCA_003222815.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,,,,,,,TRUE,,,,,
GCF_900187885.1,Bacteria..Chloroflexi..Thermoflexia..Thermoflexales..Thermoflexaceae..Thermoflexus..Thermoflexus..hugenholtzii..JAD2,,,,,,,,TRUE,,,,,
GCA_002712165.1,Bacteria..Candidatus..Marinimicrobia..NA..NA..NA..NA..Candidatus..Marinimicrobia..bacterium,,,,,,,,TRUE,,,,,
GCA_002705185.1,Bacteria..Nitrospinae..Nitrospinia..Nitrospinales..Nitrospinaceae..Nitrospina..Nitrospina..sp,,,,,,,,TRUE,,,,,
GCA_003228115.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium,,,,,,,,TRUE,,,,,
GCA_002404055.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..UBA4733,,,,,,,,TRUE,,,,,
GCA_003140295.1,Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium,,,,,,,,TRUE,,,,,
GCA_002454015.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA6729,,,,,,,,TRUE,,,,,
GCA_002506605.1,Archaea..Thaumarchaeota..NA..NA..NA..NA..Thaumarchaeota..archaeon..UBA160,,,,,,,,,,,,TRUE,TRUE
GCA_002782605.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium..CG..4..8..14..3..um..filter..43..13,,,,,,,,,,,,TRUE,TRUE
GCA_000405685.1,Archaea..Thaumarchaeota..NA..NA..NA..NA..Aigarchaeota..archaeon..JGI..0000106..J15..JGI..0000106..J15,,,,,,,,,,,,TRUE,TRUE
GCF_000517565.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfurellales..Desulfurellaceae..Desulfurella..Desulfurella..acetivorans..A63,,,,,,,,,,,,TRUE,TRUE
GCA_002878135.1,Archaea..Euryarchaeota..NA..NA..NA..Aciduliprofundum..Aciduliprofundum..sp,,,,,,,,,,,,TRUE,TRUE
