Type,H-subunit,D-subunit,K-subunit,"Genome ID","Genome name",Domain,Phylum,Order
Nif-A,AFZ43954.1,AFZ43955.1,AFZ43956.1,GCA_000317635.1_ASM31763v1,"Halothece sp. PCC 7418",BACTERIAL,Cyanobacteria,None
Nif-A,AGA09729.1,AGA09728.1,AGA09727.1,GCA_000320385.2_ASM32038v2,"Sinorhizobium meliloti GR4",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AGA91923.1,AGA91922.1,AGA91921.1,GCA_000327045.1_ASM32704v1,"Thioflavicoccus mobilis 8321",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AGB48100.1,AGB48099.1,AGB48098.1,GCA_000230995.3_ASM23099v3,"Mesorhizobium australicum WSM2073",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AGB73582.1,AGB73583.1,AGB73584.1,GCA_000330885.1_ASM33088v1,"Rhizobium tropici CIAT 899",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AGG70134.1,AGG70135.1,AGG70136.1,GCA_000346065.1_ASM34606v1,"Sinorhizobium meliloti 2011",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AGK13780.1,AGK13777.1,AGK13781.1,GCA_000380335.1_ASM38033v1,"Azotobacter vinelandii CA",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AGN84234.1,AGN84235.1,AGN84236.1,GCA_000410515.1_ASM41051v1,"Enterobacter sp. R4-368",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AGS25390.1,AGS25389.1,AGS25388.1,GCA_000442435.1_ASM44243v1,"Rhizobium etli bv. mimosae str. Mim1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHB10638.1,AHB10637.1,AHB10636.1,GCA_000498655.1_ASM49865v1,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHC18645.1,AHC18646.1,AHC18647.1,GCA_000507205.2_ASM50720v2,"Paenibacillus polymyxa CR1",BACTERIAL,Firmicutes,Bacilli
Nif-A,AHF02966.1,AHF02967.1,AHF02968.1,GCA_000224005.3_ASM22400v3,"Marichromatium purpuratum 984",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AHF88066.1,AHF88065.1,AHF88064.1,GCA_000517605.1_ASM51760v1,"Rhizobium leguminosarum bv. trifolii WSM1689",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHG50078.1,AHG50079.1,AHG50082.1,GCA_000520875.1_ASM52087v1,"Rhizobium leguminosarum bv. trifolii CB782",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHJ12546.1,AHJ12548.1,AHJ12549.1,GCA_000568815.1_ASM56881v1,"Sulfurospirillum multivorans DSM 12446",BACTERIAL,Proteobacteria,Epsilonproteobacteria
Nif-A,AHJ70950.1,AHJ70949.1,AHJ70948.1,GCA_000576125.1_ASM57612v1,"Zymomonas mobilis subsp. mobilis NRRL B-12526",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHJ72803.1,AHJ72802.1,AHJ72801.1,GCA_000576165.1_ASM57616v1,"Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AHJ73975.1,AHJ73976.1,AHJ73977.1,GCA_000300455.3_ASM30045v3,"Kosakonia sacchari SP1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AHV98647.1,AHV98646.1,AHV98645.1,GCA_000612505.1_ASM61250v1,"Paenibacillus sabinae T27",BACTERIAL,Firmicutes,Bacilli
Nif-A,AHW88035.1,AHW88034.1,AHW88033.1,GCA_000632415.1_ASM63241v1,"Klebsiella oxytoca HKOPL1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIA30843.1,AIA30842.1,AIA30841.1,GCA_000695975.1_ASM69597v1,"Leptospirillum ferriphilum YSK",BACTERIAL,Nitrospirae,Nitrospira
Nif-A,AIA71782.1,AIA71781.1,AIA71780.1,GCA_000696465.1_ASM69646v1,"Pectobacterium atrosepticum",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIB12323.1,AIB12324.1,AIB12325.1,GCA_000632475.2_ASM63247v2,"Azospirillum brasilense",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AIC29945.1,AIC29946.1,AIC29947.1,GCA_000698845.1_ASM69884v1,"Rhizobium etli bv. mimosae str. IE4771",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AID91131.1,AID91132.1,AID91133.1,GCA_000714655.1_ASM71465v1,"Klebsiella oxytoca KONIH1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AID99397.1,AID99398.1,AID99399.1,GCA_000714635.1_ASM71463v1,"Klebsiella pneumoniae subsp. pneumoniae KP5-1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIE71212.1,AIE71213.1,AIE71214.1,GCA_000724525.1_ASM72452v1,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIK14740.1,AIK14739.1,AIK14738.1,GCA_000740965.1_ASM74096v1,"Pectobacterium atrosepticum",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIM02188.1,AIM02187.1,AIM02186.1,GCA_000747295.1_ASM74729v1,"Sinorhizobium meliloti",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AIQ14143.1,AIQ14142.1,AIQ14141.1,GCA_000756615.1_ASM75661v1,"Paenibacillus durus",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ20208.1,AIQ20207.1,AIQ20206.1,GCA_000758525.1_ASM75852v1,"Paenibacillus sp. FSL H7-0357",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ32053.1,AIQ32052.1,AIQ32051.1,GCA_000758565.1_ASM75856v1,"Paenibacillus sp. FSL P4-0081",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ43381.1,AIQ43380.1,AIQ43379.1,GCA_000758605.1_ASM75860v1,"Paenibacillus sp. FSL R5-0912",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ49065.1,AIQ49064.1,AIQ49063.1,GCA_000758625.1_ASM75862v1,"Paenibacillus sp. FSL R7-0273",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ54499.1,AIQ54498.1,AIQ54497.1,GCA_000758645.1_ASM75864v1,"Paenibacillus sp. FSL R7-0331",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ60590.1,AIQ60589.1,AIQ60588.1,GCA_000758665.1_ASM75866v1,"Paenibacillus borealis",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ65225.1,AIQ65224.1,AIQ65223.1,GCA_000758685.1_ASM75868v1,"Paenibacillus stellifer",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ70764.1,AIQ70763.1,AIQ70762.1,GCA_000758705.1_ASM75870v1,"Paenibacillus graminis",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIQ76252.1,AIQ76251.1,AIQ76250.1,GCA_000758725.1_ASM75872v1,"Paenibacillus odorifer",BACTERIAL,Firmicutes,Bacilli
Nif-A,AIR70474.1,AIR70475.1,AIR70476.1,GCA_000758345.1_ASM75834v1,"Cedecea neteri",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AIX70233.1,AIX70234.1,AIX70235.1,GCA_000784945.1_ASM78494v1,"Klebsiella pneumoniae subsp. pneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AJA98205.1,AJA98206.1,AJA98207.1,GCA_000812205.1_ASM81220v1,"Klebsiella variicola",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AJC82402.1,AJC82401.1,AJC82400.1,GCA_000816125.1_ASM81612v1,"Rhizobium etli bv. phaseoli str. IE4803",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AJC82504.1,AJC82503.1,AJC82502.1,GCA_000816125.1_ASM81612v1,"Rhizobium etli bv. phaseoli str. IE4803",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AJD43817.1,AJD43818.1,AJD43819.1,GCA_000816845.1_ASM81684v1,"Rhizobium gallicum bv. gallicum R602",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AJE04162.1,AJE04161.1,AJE04160.1,GCA_000817955.1_ASM81795v1,"Geobacter pickeringii",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,AJE19640.1,AJE19641.1,AJE19642.1,GCA_000817975.1_ASM81797v1,"Azotobacter chroococcum NCIMB 8003",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AJE50793.1,AJE50792.1,AJE50791.1,GCA_000819665.1_ASM81966v1,"Paenibacillus polymyxa",BACTERIAL,Firmicutes,Bacilli
Nif-A,AJF73246.1,AJF73247.1,AJF73248.1,GCA_000829965.1_ASM82996v1,"Raoultella ornithinolytica",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AJP72701.1,AJP72700.1,AJP72699.1,GCA_000935025.1_ASM93502v1,"Sphingomonas sp. WHSC-8",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AJQ93954.1,AJQ93955.1,AJQ93956.1,GCA_000940805.1_ASM94080v1,"Gynuella sunshinyii YC6258",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AKG24140.1,AKG24139.1,AKG24138.1,GCA_000734895.2_ASM73489v2,"Calothrix sp. 336/3",BACTERIAL,Cyanobacteria,None
Nif-A,AKG35935.1,AKG35934.1,AKG35933.1,GCA_000993825.1_ASM99382v1,"Paenibacillus durus ATCC 35681",BACTERIAL,Firmicutes,Bacilli
Nif-A,AKH21700.1,AKH21701.1,AKH21702.1,GCA_001007875.1_ASM100787v1,"Sedimenticola sp. SIP-G1",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AKL11969.1,AKL11968.1,AKL11967.1,GCA_001022135.1_ASM102213v1,"Kluyvera intermedia",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AKL35497.1,AKL35496.1,AKL35495.1,GCA_001022195.1_ASM102219v1,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AKN66281.1,AKN66280.1,AKN66279.1,GCA_001040945.1_ASM104094v1,"Herbaspirillum seropedicae",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AKU10611.1,AKU10610.1,AKU10609.1,GCA_001190925.1_ASM119092v1,"Azoarcus sp. CIB",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ALA40938.1,ALA40939.1,ALA40940.1,GCA_001272655.2_ASM127265v2,"Paenibacillus peoriae",BACTERIAL,Firmicutes,Bacilli
Nif-A,ALC17315.1,ALC17314.1,ALC17313.1,GCA_001278055.1_ASM127805v1,"Desulfuromonas sp. WTL",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ALG66994.1,ALG66995.1,ALG66996.1,GCA_001305575.1_ASM130557v1,"Beggiatoa leptomitiformis",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,ALG69650.1,ALG69651.1,ALG69652.1,GCA_001305595.1_ASM130559v1,"Azospirillum thiophilum",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ALG89632.1,ALG89633.1,ALG89634.1,GCA_001305615.1_ASM130561v1,"Confluentimicrobium sp. EMB200-NS6",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ALK10035.1,ALK10036.1,ALK10037.1,GCA_001402875.1_ASM140287v1,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ALU89562.1,ALU89561.1,ALU89560.1,GCA_001483945.1_ASM148394v1,"Herbaspirillum rubrisubalbicans M1",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AMD29425.1,AMD29424.1,AMD29423.1,GCA_000176935.3_ASM17693v3,"Burkholderia sp. CCGE1001",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,AMJ47997.1,AMJ47996.1,AMJ47994.1,GCA_001576595.1_ASM157659v1,"Rhodobacter sphaeroides",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AMK76098.1,AMK76099.1,AMK76100.1,GCA_000785705.2_ASM78570v2,"Methylomonas denitrificans",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AMO49431.1,AMO49430.1,AMO49429.1,GCA_001582075.1_ASM158207v1,"Enterobacter sp. FY-07",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AMR16752.1,AMR16753.1,AMR16754.1,GCA_001596075.1_ASM159607v1,"Klebsiella quasipneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,AMV70505.1,AMV70504.1,AMV70503.1,GCA_001611275.1_ASM161127v1,"Desulfuromonas sp. DDH964",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,BAB52275.1,BAB52276.1,BAB52277.1,GCA_000009625.1_ASM962v1,"Mesorhizobium loti MAFF303099",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAE50378.1,BAE50377.1,BAE50376.1,GCA_000009985.1_ASM998v1,"Magnetospirillum magneticum AMB-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAE86060.1,BAE86059.1,BAE86058.1,GCA_000010045.1_ASM1004v1,"Desulfitobacterium hafniense Y51",BACTERIAL,Firmicutes,Clostridia
Nif-A,BAF87039.1,BAF87038.1,BAF87037.1,GCA_000010525.1_ASM1052v1,"Azorhizobium caulinodans ORS 571",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAI71409.1,BAI71408.1,BAI71407.1,GCA_000010725.1_ASM1072v1,"Azospirillum sp. B510",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAK71909.1,BAK71907.1,BAK71906.1,GCA_000284235.1_ASM28423v1,"Arcobacter sp. L",BACTERIAL,Proteobacteria,Epsilonproteobacteria
Nif-A,BAL23130.1,BAL23129.1,BAL23128.1,GCA_000349945.1_ASM34994v1,"Azoarcus sp. KH32C",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,BAL26358.1,BAL26359.1,BAL26360.1,GCA_000349945.1_ASM34994v1,"Azoarcus sp. KH32C",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,BAL77838.1,BAL77837.1,BAL77836.1,GCA_000284275.1_ASM28427v1,"Bradyrhizobium sp. S23321",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAL97624.1,BAL97625.1,BAL97626.1,GCA_000284255.1_ASM28425v1,"Rubrivivax gelatinosus IL144",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,BAM08067.1,BAM08068.1,BAM08069.1,GCA_000284315.1_ASM28431v1,"Leptospirillum ferrooxidans C2-3",BACTERIAL,Nitrospirae,Nitrospira
Nif-A,BAM88272.1,BAM88273.1,BAM88274.1,GCA_000344805.1_ASM34480v1,"Bradyrhizobium oligotrophicum S58",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAP18212.1,BAP18211.1,BAP18210.1,GCA_000829235.1_ASM82923v1,"cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko",BACTERIAL,Cyanobacteria,None
Nif-A,BAP56103.1,BAP56104.1,BAP56105.1,GCA_000828835.1_ASM82883v1,"Thioploca ingrica",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,BAP88505.1,BAP88504.1,BAP88503.1,GCA_000828975.1_ASM82897v1,"Burkholderiales bacterium GJ-E10",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,BAQ68624.1,BAQ68623.1,BAQ68622.1,GCA_001548075.1_ASM154807v1,"Rhodovulum sulfidophilum",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAS00045.1,BAS00044.1,BAS00043.1,GCA_001548155.2_BV133_assembly_1.0,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,BAS34484.1,BAS34483.1,BAS34482.1,GCA_001548315.1_ASM154831v1,"Klebsiella pneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,BAS41681.1,BAS41682.1,BAS41683.1,GCA_001548355.1_ASM154835v1,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,BAU06528.1,BAU06529.1,BAU06530.1,GCA_001548455.1_ASM154845v1,"Fischerella sp. NIES-3754",BACTERIAL,Cyanobacteria,None
Nif-A,BAU44877.1,BAU44876.1,BAU44875.1,GCA_001548395.1_ASM154839v1,"Leptolyngbya sp. O-77",BACTERIAL,Cyanobacteria,None
Nif-A,CAG75856.1,CAG75855.1,CAG75854.1,GCA_000011605.1_ASM1160v1,"Pectobacterium atrosepticum SCRI1043",BACTERIAL,Proteobacteria,Gammaproteobacteria
Nif-A,CAJ65436.1,CAJ65435.1,CAJ65434.1,GCA_000058485.1_ASM5848v1,"Frankia alni ACN14a",BACTERIAL,Actinobacteria,Actinobacteria
Nif-A,CAK10385.1,CAK10384.1,CAK10383.1,GCA_000009265.1_ASM926v1,"Rhizobium leguminosarum bv. viciae 3841",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CAL79117.1,CAL79116.1,CAL79115.1,GCA_000026145.1_ASM2614v1,"Bradyrhizobium sp. ORS 278",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CAL93155.1,CAL93156.1,CAL93157.1,GCA_000061505.1_ASM6150v1,"Azoarcus sp. BH72",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,CAP54379.1,CAP54380.1,CAP54381.1,GCA_000067045.1_ASM6704v1,"Gluconacetobacter diazotrophicus PA1 5",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CBS86044.1,CBS86043.1,CBS86042.1,GCA_000283655.1_ASM28365v1,"Azospirillum lipoferum 4B",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CCB66897.1,CCB66896.1,CCB66895.1,GCA_000253295.1_ASM25329v1,"Hyphomicrobium sp. MC1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CCG09210.1,CCG09209.1,CCG09208.1,GCA_000284415.2_ASM28441v2,"Rhodospirillum photometricum DSM 122",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CCJ08074.1,CCJ08075.1,CCJ08076.1,GCA_000304315.1_Msp_SC2,"Methylocystis sp. SC2",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CCM70519.1,CCM70520.1,CCM70521.1,GCA_000304415.1_RM41,"Sinorhizobium meliloti Rm41",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CDI12011.1,CDI12010.1,CDI12009.1,GCA_000499645.1_IRBG74,"Rhizobium sp. IRBG74",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CDK97560.1,CDK97559.1,CDK97558.1,GCA_000513295.1_MGMSRv2,"Magnetospirillum gryphiswaldense MSR-1 v2",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CDN51718.1,CDN51719.1,CDN51720.1,GCA_000731315.1_RG540_Ch_pA,"Neorhizobium galegae bv. orientalis str. HAMBI 540",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CDN58415.1,CDN58416.1,CDN58417.1,GCA_000731295.1_RG1141_Ch_pA_pB,"Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CQR57927.1,CQR57926.1,CQR57925.1,GCA_000981585.1_SBR5_T_,"Paenibacillus riograndensis SBR5",BACTERIAL,Firmicutes,Bacilli
Nif-A,CUW40999.1,CUW41000.1,CUW41001.1,GCA_001511835.1_XM-1,"Magnetospirillum sp. XM-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,EGJ22012.1,EGJ22011.1,EGJ22010.1,GCA_000212605.1_ASM21260v1,"Rhodobacter sphaeroides WS8N",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-B,AAK78234.1,AAK78237.1,AAK78238.1,GCA_000008765.1_ASM876v1,"Clostridium acetobutylicum ATCC 824",BACTERIAL,Firmicutes,Clostridia
Nif-B,AAM72759.1,AAM72762.1,AAM72763.1,GCA_000006985.1_ASM698v1,"Chlorobium tepidum TLS",BACTERIAL,Chlorobi,Chlorobia
Nif-B,AAS94434.1,AAS94437.1,AAS94438.1,GCA_000195755.1_ASM19575v1,"Desulfovibrio vulgaris str. Hildenborough",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ABB24385.1,ABB24388.1,ABB24389.1,GCA_000012485.1_ASM1248v1,"Chlorobium luteolum DSM 273",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ABB28505.1,ABB28508.1,ABB28509.1,GCA_000012585.1_ASM1258v1,"Chlorobium chlorochromatii CaD3",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ABK16713.1,ABK16710.1,ABK16709.1,GCA_000014965.1_ASM1496v1,"Syntrophobacter fumaroxidans MPOB",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ABL64797.1,ABL64794.1,ABL64793.1,GCA_000015125.1_ASM1512v1,"Chlorobium phaeobacteroides DSM 266",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ABM30101.1,ABM30104.1,ABM30105.1,GCA_000015485.1_ASM1548v1,"Desulfovibrio vulgaris DP4",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ABO51325.1,ABO51322.1,ABO51321.1,GCA_000016165.1_ASM1616v1,"Desulfotomaculum reducens MI-1",BACTERIAL,Firmicutes,Clostridia
Nif-B,ABP37355.1,ABP37358.1,ABP37359.1,GCA_000016085.1_ASM1608v1,"Chlorobium phaeovibrioides DSM 265",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ABR34169.1,ABR34172.1,ABR34173.1,GCA_000016965.1_ASM1696v1,"Clostridium beijerinckii NCIMB 8052",BACTERIAL,Firmicutes,Clostridia
Nif-B,ABR49651.1,ABR49648.1,ABR49647.1,GCA_000016985.1_ASM1698v1,"Alkaliphilus metalliredigens QYMF",BACTERIAL,Firmicutes,Clostridia
Nif-B,ACD89768.1,ACD89765.1,ACD89764.1,GCA_000020465.1_ASM2046v1,"Chlorobium limicola DSM 245",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACE04669.1,ACE04672.1,ACE04673.1,GCA_000020545.1_ASM2054v1,"Chlorobium phaeobacteroides BS1",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACF12015.1,ACF12018.1,ACF12019.1,GCA_000020505.1_ASM2050v1,"Chlorobaculum parvum NCIB 8327",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACF13499.1,ACF13496.1,ACF13495.1,GCA_000020525.1_ASM2052v1,"Chloroherpeton thalassium ATCC 35110",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACF44165.1,ACF44168.1,ACF44169.1,GCA_000020645.1_ASM2064v1,"Pelodictyon phaeoclathratiforme BU-1",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACF46645.1,ACF46648.1,ACF46649.1,GCA_000020625.1_ASM2062v1,"Prosthecochloris aestuarii DSM 271",BACTERIAL,Chlorobi,Chlorobia
Nif-B,ACL03220.1,ACL03217.1,ACL03216.1,GCA_000021905.1_ASM2190v1,"Desulfatibacillum alkenivorans AK-01",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ACL09552.1,ACL09555.1,ACL09556.1,GCA_000021385.1_ASM2138v1,"Desulfovibrio vulgaris str. 'Miyazaki F'",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ACN14079.1,ACN14082.1,ACN14083.1,GCA_000020365.1_ASM2036v1,"Desulfobacterium autotrophicum HRM2",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ACS78514.1,ACS78511.1,ACS78510.1,GCA_000023445.1_ASM2344v1,"Desulfovibrio salexigens DSM 2638",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ACU88952.1,ACU88955.1,ACU88956.1,GCA_000023225.1_ASM2322v1,"Desulfomicrobium baculatum DSM 4028",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ACV61909.1,ACV61912.1,ACV61913.1,GCA_000024205.1_ASM2420v1,"Desulfotomaculum acetoxidans DSM 771",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADE55852.1,ADE55851.1,ADE55850.1,GCA_000025905.1_ASM2590v1,"Coraliomargarita akajimensis DSM 45221",BACTERIAL,Verrucomicrobia,Opitutae
Nif-B,ADG81557.1,ADG81560.1,ADG81561.1,GCA_000092945.1_ASM9294v1,"Thermincola potens JR",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADH87119.1,ADH87122.1,ADH87123.1,GCA_000092205.1_ASM9220v1,"Desulfurivibrio alkaliphilus AHT 2",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ADK13572.1,ADK13575.1,ADK13576.1,GCA_000143685.1_ASM14368v1,"Clostridium ljungdahlii DSM 13528",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADK82110.1,ADK82107.1,ADK82106.1,GCA_000143985.1_ASM14398v1,"Spirochaeta smaragdinae DSM 11293",BACTERIAL,Spirochaetes,Spirochaetia
Nif-B,ADK83816.1,ADK83813.1,ADK83812.1,GCA_000143965.1_ASM14396v1,"Desulfarculus baarsii DSM 2075",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ADL52532.1,ADL52529.1,ADL52528.1,GCA_000145275.1_ASM14527v1,"Clostridium cellulovorans 743B",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADL69355.1,ADL69354.1,ADL69353.1,GCA_000145615.1_ASM14561v1,"Thermoanaerobacterium thermosaccharolyticum DSM 571",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADN01326.1,ADN01323.1,ADN01322.1,GCA_000147075.1_ASM14707v1,"Spirochaeta thermophila DSM 6192",BACTERIAL,Spirochaetes,Spirochaetia
Nif-B,ADO83190.1,ADO83187.1,ADO83186.1,GCA_000165505.1_ASM16550v1,"Ilyobacter polytropus DSM 2926",BACTERIAL,Fusobacteria,Fusobacteriia
Nif-B,ADP88250.1,ADP88247.1,ADP88246.1,GCA_000166115.1_ASM16611v1,"Desulfovibrio vulgaris RCH1",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ADQ79569.1,ADQ79572.1,ADQ79573.1,GCA_000183135.1_ASM18313v1,"Paludibacter propionicigenes WB4",BACTERIAL,Bacteroidetes,Bacteroidia
Nif-B,ADU27103.1,ADU27100.1,ADU27099.1,GCA_000178115.2_ASM17811v2,"Ethanoligenens harbinense YUAN-3",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADU62037.1,ADU62040.1,ADU62041.1,GCA_000176915.2_ASM17691v2,"Desulfovibrio aespoeensis Aspo-2",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ADW19185.1,ADW19188.1,ADW19189.1,GCA_000186885.1_ASM18688v1,"Desulfobulbus propionicus DSM 2032",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-B,ADZ19300.1,ADZ19303.1,ADZ19304.1,GCA_000191905.1_ASM19190v1,"Clostridium acetobutylicum EA 2018",BACTERIAL,Firmicutes,Clostridia
Nif-B,ADZ82193.1,ADZ82196.1,ADZ82197.1,GCA_000178835.2_ASM17883v2,"Clostridium lentocellum DSM 5427",BACTERIAL,Firmicutes,Clostridia
